Pair ,Subject,Question,Response,Condition
1,1,1,1,Pair
1,1,2,1,Pair
1,1,3,2,Pair
1,1,4,1,Pair
1,1,5,2,Pair
1,1,6,1,Pair
1,1,7,2,Pair
1,1,8,1,Pair
1,1,9,1,Pair
1,1,10,4,Pair
1,1,11,3,Pair
1,1,12,6,Pair
1,1,13,1,Pair
1,1,14,5,Pair
1,2,1,3,Pair
1,2,2,3,Pair
1,2,3,3,Pair
1,2,4,1,Pair
1,2,5,1,Pair
1,2,6,1,Pair
1,2,7,2,Pair
1,2,8,1,Pair
1,2,9,2,Pair
1,2,10,4,Pair
1,2,11,6,Pair
1,2,12,7,Pair
1,2,13,1,Pair
1,2,14,6,Pair
2,1,1,1,Pair
2,1,2,2,Pair
2,1,3,6,Pair
2,1,4,2,Pair
2,1,5,2,Pair
2,1,6,1,Pair
2,1,7,6,Pair
2,1,8,4,Pair
2,1,9,3,Pair
2,1,10,3,Pair
2,1,11,6,Pair
2,1,12,5,Pair
2,1,13,2,Pair
2,1,14,4,Pair
2,2,1,2,Pair
2,2,2,2,Pair
2,2,3,6,Pair
2,2,4,4,Pair
2,2,5,2,Pair
2,2,6,1,Pair
2,2,7,4,Pair
2,2,8,3,Pair
2,2,9,2,Pair
2,2,10,4,Pair
2,2,11,6,Pair
2,2,12,6,Pair
2,2,13,1,Pair
2,2,14,3,Pair
3,1,1,2,Pair
3,1,2,1,Pair
3,1,3,2,Pair
3,1,4,2,Pair
3,1,5,3,Pair
3,1,6,2,Pair
3,1,7,3,Pair
3,1,8,2,Pair
3,1,9,3,Pair
3,1,10,3,Pair
3,1,11,4,Pair
3,1,12,6,Pair
3,1,13,4,Pair
3,1,14,4,Pair
3,2,1,5,Pair
3,2,2,3,Pair
3,2,3,3,Pair
3,2,4,2,Pair
3,2,5,2,Pair
3,2,6,2,Pair
3,2,7,3,Pair
3,2,8,3,Pair
3,2,9,3,Pair
3,2,10,4,Pair
3,2,11,2,Pair
3,2,12,5,Pair
3,2,13,3,Pair
3,2,14,4,Pair
4,1,1,1,Pair
4,1,2,2,Pair
4,1,3,2,Pair
4,1,4,2,Pair
4,1,5,1,Pair
4,1,6,2,Pair
4,1,7,3,Pair
4,1,8,2,Pair
4,1,9,1,Pair
4,1,10,3,Pair
4,1,11,5,Pair
4,1,12,7,Pair
4,1,13,2,Pair
4,1,14,3,Pair
4,2,1,5,Pair
4,2,2,1,Pair
4,2,3,1,Pair
4,2,4,3,Pair
4,2,5,1,Pair
4,2,6,1,Pair
4,2,7,4,Pair
4,2,8,3,Pair
4,2,9,1,Pair
4,2,10,4,Pair
4,2,11,2,Pair
4,2,12,7,Pair
4,2,13,1,Pair
4,2,14,6,Pair
5,1,1,3,Pair
5,1,2,1,Pair
5,1,3,3,Pair
5,1,4,2,Pair
5,1,5,1,Pair
5,1,6,4,Pair
5,1,7,4,Pair
5,1,8,4,Pair
5,1,9,2,Pair
5,1,10,4,Pair
5,1,11,7,Pair
5,1,12,7,Pair
5,1,13,1,Pair
5,1,14,5,Pair
5,2,1,5,Pair
5,2,2,2,Pair
5,2,3,2,Pair
5,2,4,2,Pair
5,2,5,3,Pair
5,2,6,3,Pair
5,2,7,2,Pair
5,2,8,3,Pair
5,2,9,4,Pair
5,2,10,4,Pair
5,2,11,6,Pair
5,2,12,7,Pair
5,2,13,2,Pair
5,2,14,4,Pair
6,1,1,5,Pair
6,1,2,1,Pair
6,1,3,4,Pair
6,1,4,4,Pair
6,1,5,2,Pair
6,1,6,2,Pair
6,1,7,4,Pair
6,1,8,4,Pair
6,1,9,1,Pair
6,1,10,4,Pair
6,1,11,6,Pair
6,1,12,7,Pair
6,1,13,1,Pair
6,1,14,4,Pair
6,2,1,1,Pair
6,2,2,1,Pair
6,2,3,1,Pair
6,2,4,1,Pair
