"Subject" "Condition" "Effort" "Motivation" "Pair"
"3" 11 "Pair" 2 1 "1"
"17" 12 "Pair" 3 1 "1"
"31" 21 "Pair" 6 2 "2"
"45" 22 "Pair" 6 4 "2"
"59" 31 "Pair" 2 2 "3"
"73" 32 "Pair" 3 2 "3"
"87" 41 "Pair" 2 2 "4"
"101" 42 "Pair" 1 3 "4"
"115" 51 "Pair" 3 2 "5"
"129" 52 "Pair" 2 2 "5"
"143" 61 "Pair" 4 4 "6"
"157" 62 "Pair" 1 1 "6"
"171" 71 "Pair" 2 3 "7"
"185" 72 "Pair" 2 3 "7"
"199" 81 "Pair" 1 2 "8"
"213" 82 "Pair" 2 1 "8"
"227" 91 "Pair" 4 4 "9"
"241" 92 "Pair" 3 4 "9"
"255" 101 "Pair" 2 1 "10"
"269" 102 "Pair" 2 2 "10"
"283" 111 "Pair" 6 2 "11"
"297" 112 "Pair" 2 2 "11"
"311" 121 "Pair" 4 4 "12"
"325" 122 "Pair" 1 3 "12"
"339" 131 "Pair" 5 5 "13"
"353" 132 "Pair" NA NA "13"
"367" 141 "Pair" 5 4 "14"
"381" 142 "Pair" 2 2 "14"
"395" 151 "Pair" 2 2 "15"
"409" 152 "Pair" 2 1 "15"
"423" 161 "Pair" 3 2 "16"
"437" 162 "Pair" 1 1 "16"
"451" 171 "Pair" 7 4 "17"
"465" 172 "Pair" 6 3 "17"
"479" 181 "Pair" 5 4 "18"
"493" 182 "Pair" 3 4 "18"
"507" 191 "Pair" 6 1 "19"
"521" 192 "Pair" 2 3 "19"
"535" 201 "Pair" 2 6 "20"
"549" 202 "Pair" 1 1 "20"
"563" 211 "Pair" 3 3 "21"
"577" 212 "Pair" 4 4 "21"
"591" 221 "Pair" 6 2 "22"
"605" 222 "Pair" 5 3 "22"
"619" 231 "Pair" 2 1 "23"
"633" 232 "Pair" 3 4 "23"
"647" 241 "Pair" 3 1 "24"
"661" 242 "Pair" 3 3 "24"
"675" 251 "Pair" 2 3 "25"
"689" 252 "Pair" 6 2 "25"
"703" 261 "Pair" 5 3 "26"
"717" 262 "Pair" 4 1 "26"
"731" 11 "Individual" 3 2 "1"
"740" 21 "Individual" 2 2 "2"
"749" 31 "Individual" 5 3 "3"
"758" 41 "Individual" 3 2 "4"
"767" 51 "Individual" 2 1 "5"
"776" 61 "Individual" 3 2 "6"
"785" 71 "Individual" 2 1 "7"
"794" 81 "Individual" 6 2 "8"
"803" 91 "Individual" 4 3 "9"
"812" 101 "Individual" 2 1 "10"
"821" 111 "Individual" 3 2 "11"
"830" 121 "Individual" 4 1 "12"
"839" 131 "Individual" 6 3 "13"
"848" 141 "Individual" 3 3 "14"
"857" 151 "Individual" 4 2 "15"
"866" 161 "Individual" 3 2 "16"
"875" 171 "Individual" 2 1 "17"
"884" 181 "Individual" 2 1 "18"
"893" 191 "Individual" 4 4 "19"
"902" 201 "Individual" 2 2 "20"
"911" 211 "Individual" 2 2 "21"
"920" 221 "Individual" 6 3 "22"
"929" 231 "Individual" 2 1 "23"
"938" 241 "Individual" 3 3 "24"
"947" 251 "Individual" 2 2 "25"
"956" 261 "Individual" 5 2 "26"
"965" 271 "Individual" 3 4 "27"
