,Pair,Session,InterlocutorA,InterlocutorB,Shared,Ratio,Cosine
0,Pair2,1.0,174.0,166.0,115.0,0.338235294118,0.928752003772
1,Pair2,1a,97.0,93.0,50.0,0.263157894737,0.690575620021
2,Pair2,2,245.0,250.0,157.0,0.317171717172,0.956190586212
3,Pair2,2a,64.0,78.0,34.0,0.239436619718,0.75478153449
4,Pair2,3,180.0,174.0,114.0,0.322033898305,0.942674301546
5,Pair2,3a,30.0,58.0,17.0,0.193181818182,0.694152485492
6,Pair3,1,188.0,165.0,98.0,0.277620396601,0.858917784511
7,Pair3,1a,59.0,44.0,19.0,0.184466019417,0.60943956339
8,Pair3,2,172.0,149.0,97.0,0.302180685358,0.895617313944
9,Pair3,2a,43.0,30.0,18.0,0.246575342466,0.811014402401
10,Pair3,3,140.0,107.0,70.0,0.283400809717,0.828013592042
11,Pair3,3a,49.0,34.0,16.0,0.192771084337,0.731821959415
12,Pair4,1,162.0,170.0,106.0,0.319277108434,0.875986258569
13,Pair4,1a,79.0,59.0,48.0,0.347826086957,0.828198036779
14,Pair4,2,172.0,147.0,101.0,0.316614420063,0.895459795111
15,Pair4,2a,64.0,65.0,36.0,0.279069767442,0.829646491259
16,Pair4,3,197.0,185.0,126.0,0.329842931937,0.952172918377
17,Pair4,3a,19.0,18.0,7.0,0.189189189189,0.400066132099
18,Pair5,1,192.0,151.0,104.0,0.303206997085,0.870609090808
19,Pair5,1a,96.0,80.0,40.0,0.227272727273,0.670812333774
20,Pair5,2,258.0,219.0,137.0,0.287211740042,0.893146744128
21,Pair5,2a,72.0,60.0,32.0,0.242424242424,0.526480097657
22,Pair5,3,225.0,192.0,119.0,0.285371702638,0.815802878275
23,Pair5,3a,68.0,41.0,17.0,0.155963302752,0.480209238664
24,Pair7,1,425.0,349.0,234.0,0.302325581395,0.955911519951
25,Pair7,1a,134.0,104.0,60.0,0.252100840336,0.768789563652
26,Pair7,2,283.0,201.0,143.0,0.295454545455,0.909070619071
27,Pair7,2a,70.0,53.0,28.0,0.227642276423,0.606439191912
28,Pair7,3,263.0,210.0,147.0,0.310782241015,0.922953536536
29,Pair7,3a,22.0,26.0,9.0,0.1875,0.480408029891
30,Pair8,1,119.0,118.0,74.0,0.31223628692,0.768739844824
31,Pair8,1a,43.0,49.0,23.0,0.25,0.627142963244
32,Pair8,2,101.0,93.0,53.0,0.273195876289,0.764773481357
33,Pair8,2a,23.0,37.0,16.0,0.266666666667,0.492154566388
