,Pair,Session,Test,InterlocutorA,InterlocutorB,Shared,Ratio,Cosine
0,2,1,0,174,166,115,0.338235294,0.928752004
1,2,1,1,97,93,50,0.263157895,0.69057562
2,2,2,0,245,250,157,0.317171717,0.956190586
3,2,2,1,64,78,34,0.23943662,0.754781534
4,2,3,0,180,174,114,0.322033898,0.942674302
5,2,3,1,30,58,17,0.193181818,0.694152485
6,3,1,0,188,165,98,0.277620397,0.858917785
7,3,1,1,59,44,19,0.184466019,0.609439563
8,3,2,0,172,149,97,0.302180685,0.895617314
9,3,2,1,43,30,18,0.246575342,0.811014402
10,3,3,0,140,107,70,0.28340081,0.828013592
11,3,3,1,49,34,16,0.192771084,0.731821959
12,4,1,0,162,170,106,0.319277108,0.875986259
13,4,1,1,79,59,48,0.347826087,0.828198037
14,4,2,0,172,147,101,0.31661442,0.895459795
15,4,2,1,64,65,36,0.279069767,0.829646491
16,4,3,0,197,185,126,0.329842932,0.952172918
17,4,3,1,19,18,7,0.189189189,0.400066132
18,5,1,0,192,151,104,0.303206997,0.870609091
19,5,1,1,96,80,40,0.227272727,0.670812334
20,5,2,0,258,219,137,0.28721174,0.893146744
21,5,2,1,72,60,32,0.242424242,0.526480098
22,5,3,0,225,192,119,0.285371703,0.815802878
23,5,3,1,68,41,17,0.155963303,0.480209239
24,7,1,0,425,349,234,0.302325581,0.95591152
25,7,1,1,134,104,60,0.25210084,0.768789564
26,7,2,0,283,201,143,0.295454545,0.909070619
27,7,2,1,70,53,28,0.227642276,0.606439192
28,7,3,0,263,210,147,0.310782241,0.922953537
29,7,3,1,22,26,9,0.1875,0.48040803
30,8,1,0,119,118,74,0.312236287,0.768739845
31,8,1,1,43,49,23,0.25,0.627142963
32,8,2,0,101,93,53,0.273195876,0.764773481
33,8,2,1,23,37,16,0.266666667,0.492154566
34,8,3,0,68,110,46,0.258426966,0.725439696
35,8,3,1,25,23,10,0.208333333,0.513877396
36,10,1,0,79,105,61,0.331521739,0.846537809
37,10,1,1,12,12,2,0.083333333,0.149071199
38,10,2,0,71,69,42,0.3,0.876702371
39,10,2,1,13,11,2,0.083333333,0.384900179
40,10,3,0,65,62,36,0.283464567,0.725638458
41,10,3,1,8,10,3,0.166666667,0.527644853
42,11,1,0,113,115,67,0.293859649,0.936596501
43,11,1,1,59,44,26,0.252427184,0.832853015
44,11,2,0,107,85,60,0.3125,0.890363641
45,11,2,1,27,24,18,0.352941176,0.774844534
46,11,3,0,92,87,55,0.30726257,0.874273956
47,11,3,1,6,5,0,0,0
48,12,1,0,271,180,123,0.272727273,0.941487931
49,12,1,1,67,56,39,0.317073171,0.634528147
50,12,2,0,212,133,104,0.301449275,0.922310351
51,12,2,1,77,48,29,0.232,0.739583678
52,12,3,0,208,130,94,0.278106509,0.877909219
53,12,3,1,23,12,6,0.171428571,0.753521523
54,14,1,0,167,111,77,0.276978417,0.83816163
55,14,1,1,34,35,13,0.188405797,0.509326638
56,14,2,0,229,194,133,0.314420804,0.930277051
57,14,2,1,39,32,10,0.14084507,0.473109211
58,14,3,0,208,176,130,0.338541667,0.917195193
59,14,3,1,29,35,13,0.203125,0.392708777
60,17,1,0,127,123,81,0.324,0.799466691
61,17,1,1,31,16,7,0.14893617,0.303394018
62,17,2,0,149,118,81,0.303370787,0.839955811
63,17,2,1,15,23,12,0.315789474,0.6172134
64,17,3,0,65,93,42,0.265822785,0.747745517
65,17,3,1,14,17,3,0.096774194,0.375325945
66,18,1,0,143,156,91,0.304347826,0.928963595
67,18,1,1,22,28,13,0.26,0.685384906
68,18,2,0,188,163,117,0.333333333,0.917328575
69,18,2,1,33,29,15,0.241935484,0.512805605
70,18,3,0,168,151,103,0.322884013,0.884388017
71,18,3,1,16,13,1,0.034482759,0.049629167
72,19,1,0,162,167,100,0.303951368,0.915816328
73,19,1,1,61,44,23,0.219047619,0.549769207
74,19,2,0,156,120,88,0.31884058,0.87716488
75,19,2,1,49,52,25,0.247524752,0.739055614
76,19,3,0,161,127,83,0.288194444,0.86297111
77,19,3,1,24,26,13,0.26,0.555206511
78,20,1,0,176,151,95,0.290519878,0.72258882
79,20,1,1,39,55,16,0.170212766,0.358136508
80,20,2,0,115,161,78,0.282608696,0.706858672
81,20,2,1,20,33,13,0.245283019,0.390268266
82,20,3,0,166,194,112,0.311111111,0.798425414
83,20,3,1,33,35,10,0.147058824,0.490076972
84,21,1,0,95,120,70,0.325581395,0.747045714
85,21,1,1,16,14,7,0.233333333,0.626935506
86,21,2,0,61,83,38,0.263888889,0.605475941
87,21,2,1,9,27,6,0.166666667,0.554415953
88,21,3,0,50,79,40,0.310077519,0.65021479
89,21,3,1,6,12,3,0.166666667,0.475651494
90,22,1,0,216,178,112,0.284263959,0.787914052
91,22,1,1,57,51,25,0.231481481,0.501865035
92,22,2,0,227,188,121,0.291566265,0.882065067
93,22,2,1,19,11,1,0.033333333,0.20597146
94,22,3,0,190,152,100,0.292397661,0.686967448
95,22,3,1,61,39,22,0.22,0.626672849
96,24,1,0,127,89,58,0.268518519,0.65428359
97,24,1,1,41,43,25,0.297619048,0.639203769
98,24,2,0,173,139,96,0.307692308,0.721821368
99,24,2,1,34,27,9,0.147540984,0.438638514
100,24,3,0,168,145,89,0.284345048,0.849047268
101,24,3,1,11,11,2,0.090909091,0.160356745
102,25,1,0,145,164,98,0.317152104,0.836259523
103,25,1,1,92,97,52,0.275132275,0.766098647
104,25,2,0,160,162,100,0.310559006,0.892204409
105,25,2,1,49,47,27,0.28125,0.644658371
106,25,3,0,155,151,92,0.300653595,0.887306549
107,25,3,1,37,39,23,0.302631579,0.623498622
108,26,1,0,180,159,101,0.297935103,0.918228061
109,26,1,1,59,56,27,0.234782609,0.713541945
110,26,2,0,139,117,76,0.296875,0.801412887
111,26,2,1,36,35,21,0.295774648,0.645434471
112,26,3,0,203,160,114,0.314049587,0.841403908
113,26,3,1,38,30,19,0.279411765,0.439682871
