Pair,Session,Test,InterlocutorA,InterlocutorB,Shared,Ratio,Cosine,TokenRatio
1,1,0,277,278,158,0.284684685,0.924321543,1.232408524
1,1,1,157,182,105,0.309734513,0.88385882,1.435634744
1,2,0,221,204,129,0.303529412,0.930364484,1.185601178
1,2,1,65,57,29,0.237704918,0.786188602,1.021001616
1,3,0,124,95,67,0.305936073,0.860557159,1.251504212
1,3,1,0,0,0,,0,
10,1,0,79,105,61,0.331521739,0.846537809,1.311704063
10,1,1,12,12,2,0.083333333,0.149071199,1.235294118
10,2,0,71,69,42,0.3,0.876702371,1.077838828
10,2,1,13,11,2,0.083333333,0.384900179,1.358490566
10,3,0,65,62,36,0.283464567,0.725638458,1.376367615
10,3,1,8,10,3,0.166666667,0.527644853,1.333333333
11,1,0,113,115,67,0.293859649,0.936596501,1.075263663
11,1,1,59,44,26,0.252427184,0.832853015,1.517615176
11,2,0,107,85,60,0.3125,0.890363641,1.253123554
11,2,1,27,24,18,0.352941176,0.774844534,1.567251462
11,3,0,92,87,55,0.30726257,0.874273956,1.006504065
11,3,1,6,5,0,,0,2.47826087
12,1,0,271,180,123,0.272727273,0.941487931,1.389029689
12,1,1,67,56,39,0.317073171,0.634528147,1.49287169
12,2,0,212,133,104,0.301449275,0.922310351,1.991285403
12,2,1,77,48,29,0.232,0.739583678,1.906103286
12,3,0,208,130,94,0.278106509,0.877909219,1.731808071
12,3,1,23,12,6,0.171428571,0.753521523,2.661764706
13,1,0,206,212,110,0.263157895,0.813195896,1.384079602
13,1,1,73,56,30,0.23255814,0.59778597,1.616336634
13,2,0,202,176,104,0.275132275,0.861457512,1.383786848
13,2,1,0,0,0,,0,
13,3,0,0,0,0,,0,
13,3,1,0,0,0,,0,
14,1,0,167,111,77,0.276978417,0.83816163,1.548929664
14,1,1,34,35,13,0.188405797,0.509326638,1.276679842
14,2,0,229,194,133,0.314420804,0.930277051,1.178141711
14,2,1,39,32,10,0.14084507,0.473109211,1.488986784
14,3,0,208,176,130,0.338541667,0.917195193,1.170638372
14,3,1,29,35,13,0.203125,0.392708777,1.211055276
16,1,0,222,171,121,0.307888041,0.773623192,1.219083831
16,1,1,122,70,49,0.255208333,0.539589396,1.856950067
16,2,0,215,151,110,0.300546448,0.830562956,1.69009434
16,2,1,26,31,11,0.192982456,0.534531521,1.190217391
16,3,0,188,143,104,0.314199396,0.683855939,1.776255708
16,3,1,45,23,18,0.264705882,0.563720303,2.363636364
17,1,0,127,123,81,0.324,0.799466691,1.359042553
17,1,1,31,16,7,0.14893617,0.303394018,1.455284553
17,2,0,149,118,81,0.303370787,0.839955811,1.180257511
17,2,1,15,23,12,0.315789474,0.6172134,1.808823529
17,3,0,65,93,42,0.265822785,0.747745517,1.471962617
17,3,1,14,17,3,0.096774194,0.375325945,1.112676056
18,1,0,143,156,91,0.304347826,0.928963595,1.293341911
18,1,1,22,28,13,0.26,0.685384906,2.205128205
18,2,0,188,163,117,0.333333333,0.917328575,1.365558912
18,2,1,33,29,15,0.241935484,0.512805605,1.333333333
18,3,0,168,151,103,0.322884013,0.884388017,1.184581376
18,3,1,16,13,1,0.034482759,0.049629167,1
19,1,0,162,167,100,0.303951368,0.915816328,1.051058824
19,1,1,61,44,23,0.219047619,0.549769207,1.78553616
19,2,0,156,120,88,0.31884058,0.87716488,1.204229798
19,2,1,49,52,25,0.247524752,0.739055614,1.04009434
19,3,0,161,127,83,0.288194444,0.86297111,1.209176404
19,3,1,24,26,13,0.26,0.555206511,1.367088608
2,1,0,174,166,115,0.338235294,0.928752004,1.122204037
2,1,1,97,93,50,0.263157895,0.69057562,1.341513292
2,2,0,245,250,157,0.317171717,0.956190586,1.254345603
2,2,1,64,78,34,0.23943662,0.754781534,1.028148148
2,3,0,180,174,114,0.322033898,0.942674302,1.207814513
2,3,1,30,58,17,0.193181818,0.694152485,1.608108108
20,1,0,176,151,95,0.290519878,0.72258882,1.097553123
20,1,1,39,55,16,0.170212766,0.358136508,1.433823529
20,2,0,115,161,78,0.282608696,0.706858672,1.822343324
20,2,1,20,33,13,0.245283019,0.390268266,1.708029197
20,3,0,166,194,112,0.311111111,0.798425414,1.363978495
