Pair,Session,Test,InterlocutorA,InterlocutorB,Shared,Ratio,Cosine,TokenRatio
1,1,0,225,215,128,0.290909091,0.945188014,1.230289049
1,1,1,127,149,91,0.329710145,0.920402788,1.446654611
1,2,0,182,165,108,0.311239193,0.961995033,1.192264151
1,2,1,58,53,29,0.261261261,0.79927923,1.051926298
1,3,0,102,79,60,0.331491713,0.901816202,1.25647349
1,3,1,0,0,0,,0,
10,1,0,70,91,58,0.360248447,0.911227355,1.251798561
10,1,1,12,12,2,0.083333333,0.149071199,1.125
10,2,0,65,63,43,0.3359375,0.922962405,1.064754857
10,2,1,13,11,2,0.083333333,0.384900179,1.408163265
10,3,0,59,56,35,0.304347826,0.783473288,1.31284303
10,3,1,8,10,4,0.222222222,0.603022689,1.481481481
11,1,0,89,97,59,0.317204301,0.954390765,1.085910653
11,1,1,55,40,26,0.273684211,0.856861058,1.606232295
11,2,0,91,72,54,0.331288344,0.939748627,1.24952741
11,2,1,23,18,15,0.365853659,0.837542257,1.586592179
11,3,0,81,69,47,0.313333333,0.917900941,1.044067797
11,3,1,6,5,0,,0,3.238095238
12,1,0,219,142,103,0.28531856,0.95503555,1.38611516
12,1,1,62,47,35,0.321100917,0.723856474,1.469262295
12,2,0,171,106,87,0.314079422,0.943991151,1.960264901
12,2,1,69,40,26,0.23853211,0.844585589,1.878345499
12,3,0,176,105,84,0.298932384,0.911695986,1.714055967
12,3,1,21,10,5,0.161290323,0.810747187,2.417910448
13,1,0,171,164,91,0.271641791,0.833948703,1.391737183
13,1,1,69,51,30,0.25,0.589457848,1.578313253
13,2,0,160,148,93,0.301948052,0.889619804,1.390896159
13,2,1,0,0,0,,0,
13,3,0,0,0,0,,0,
13,3,1,0,0,0,,0,
14,1,0,140,93,68,0.291845494,0.845429055,1.573469388
14,1,1,30,32,16,0.258064516,0.652851225,1.273092369
14,2,0,182,154,108,0.321428571,0.954076919,1.155268022
14,2,1,35,30,11,0.169230769,0.504429633,1.431111111
14,3,0,165,137,111,0.367549669,0.941651447,1.135584416
14,3,1,27,30,14,0.245614035,0.51619618,1.117948718
16,1,0,214,167,120,0.31496063,0.767187076,1.204785754
16,1,1,114,65,47,0.262569832,0.553826155,1.788965517
16,2,0,204,144,106,0.304597701,0.826015175,1.684275184
16,2,1,25,31,11,0.196428571,0.528515146,1.10989011
16,3,0,182,137,102,0.319749216,0.675879071,1.807714124
16,3,1,44,22,18,0.272727273,0.530825095,2.266666667
17,1,0,105,100,72,0.351219512,0.836034036,1.338868941
17,1,1,28,16,9,0.204545455,0.361080911,1.274193548
17,2,0,118,96,67,0.313084112,0.90440316,1.167026327
17,2,1,14,23,12,0.324324324,0.620364584,1.797101449
17,3,0,57,77,41,0.305970149,0.835640401,1.455275229
17,3,1,14,17,5,0.161290323,0.458731711,1.147058824
18,1,0,120,130,78,0.312,0.934103089,1.308223684
18,1,1,19,27,13,0.282608696,0.701899399,2.071428571
18,2,0,148,132,95,0.339285714,0.932398778,1.340854326
18,2,1,30,27,17,0.298245614,0.600099198,1.378698225
18,3,0,127,118,81,0.330612245,0.906394457,1.173455251
18,3,1,14,13,2,0.074074074,0.109422027,1.018691589
19,1,0,138,139,89,0.321299639,0.92354712,1.033652723
19,1,1,56,44,28,0.28,0.606808371,1.792307692
19,2,0,130,98,78,0.342105263,0.892388607,1.20146871
19,2,1,42,48,23,0.255555556,0.752175245,1.062650602
19,3,0,128,106,73,0.311965812,0.890811955,1.19988446
19,3,1,23,24,16,0.340425532,0.621650806,1.480263158
2,1,0,145,130,97,0.352727273,0.941952738,1.114758546
2,1,1,87,76,47,0.288343558,0.758071561,1.327405858
2,2,0,190,195,133,0.345454545,0.96499376,1.266302226
2,2,1,54,67,33,0.272727273,0.825547584,1.045454545
2,3,0,141,139,93,0.332142857,0.955889102,1.223243598
2,3,1,27,51,18,0.230769231,0.743743436,1.60472973
20,1,0,142,124,82,0.308270677,0.793378493,1.085899514
20,1,1,37,52,16,0.179775281,0.422594596,1.397003745
20,2,0,98,132,69,0.3,0.745774804,1.791434928
20,2,1,20,30,15,0.3,0.448818521,1.74015748
20,3,0,140,158,98,0.32885906,0.843341468,1.343911039
20,3,1,30,32,10,0.161290323,0.575108124,1.025906736
21,1,0,82,101,64,0.349726776,0.83840673,1.271515152
21,1,1,16,13,7,0.24137931,0.638284739,1.061728395
21,2,0,50,75,33,0.264,0.718439636,1.334581773
