condition,subject,session,cycle,trial,test,stimulus,category,response,dangerous,nutricious,correct,cumulative,RT,motivation,competence,communication,complement,AccuracyP,Accuracy
Dyads,31,1,1,1,0,11001.jpg 1,1,3,0,0,0,-100,13475,1,1,1.5,1,0.7038650665193481,0
Dyads,31,1,1,2,0,00000.jpg 1,1,1,0,0,1,0,16153,1,1,1.5,1,0.8040442511926555,1
Dyads,31,1,1,3,0,10101.jpg 1,3,3,1,0,1,100,7515,1,1,1.5,1,0.6860091957239828,1
Dyads,31,1,1,4,0,01011.jpg 1,2,2,0,1,1,200,3768,1,1,1.5,1,0.836405357886875,1
Dyads,31,1,1,5,0,11011.jpg 1,2,4,0,1,0,100,7377,1,1,1.5,1,0.5829663400922696,0
Dyads,31,1,1,6,0,00011.jpg 1,2,2,0,1,1,200,9747,1,1,1.5,1,0.7982505383646951,1
Dyads,31,1,1,7,0,11111.jpg 1,4,2,1,1,0,100,12758,1,1,1.5,1,0.7943450766065002,0
Dyads,31,1,1,8,0,10000.jpg 1,1,3,0,0,0,0,25646,1,1,1.5,1,0.5805665501914966,0
Dyads,31,1,1,9,0,01001.jpg 1,1,1,0,0,1,100,3109,1,1,1.5,1,0.8450913485081719,1
Dyads,31,1,1,10,0,00000.jpg 1,1,1,0,0,1,200,10906,1,1,1.5,1,0.8040442511926555,1
Dyads,31,1,1,11,0,11011.jpg 1,2,2,0,1,1,300,30238,1,1,1.5,1,0.5829663400922696,1
Dyads,31,1,1,12,0,11111.jpg 1,4,4,1,1,1,400,6421,1,1,1.5,1,0.7943450766065002,1
Dyads,31,1,1,13,0,10011.jpg 1,2,2,0,1,1,500,4029,1,1,1.5,1,0.7173754893588113,1
Dyads,31,1,1,14,0,00111.jpg 1,2,2,0,1,1,600,52619,1,1,1.5,1,0.6769648595951955,1
Dyads,31,1,1,15,0,10000.jpg 1,1,1,0,0,1,700,8004,1,1,1.5,1,0.5805665501914966,1
Dyads,31,1,1,16,0,00110.jpg 1,2,2,0,1,1,800,8948,1,1,1.5,1,0.6534308234031319,1
Dyads,31,1,1,17,0,01001.jpg 1,1,1,0,0,1,900,34334,1,1,1.5,1,0.8450913485081719,1
Dyads,31,1,1,18,0,10101.jpg 1,3,3,1,0,1,1000,8673,1,1,1.5,1,0.6860091957239828,1
Dyads,31,1,1,19,0,01111.jpg 1,2,2,0,1,1,1100,22833,1,1,1.5,1,0.7460819012934391,1
Dyads,31,1,1,20,0,10111.jpg 1,4,4,1,1,1,1200,5943,1,1,1.5,1,0.8031465052495329,1
Dyads,31,1,1,21,0,01011.jpg 1,2,2,0,1,1,1300,10305,1,1,1.5,1,0.836405357886875,1
Dyads,31,1,1,22,0,00001.jpg 1,1,1,0,0,1,1400,9030,1,1,1.5,1,0.7988394299436935,1
Dyads,31,1,1,23,0,01111.jpg 1,2,2,0,1,1,1500,11110,1,1,1.5,1,0.7460819012934391,1
Dyads,31,1,1,24,0,01101.jpg 1,1,1,0,0,1,1600,22177,1,1,1.5,1,0.7029349220328751,1
Dyads,31,1,1,25,0,00010.jpg 1,2,2,0,1,1,1700,16332,1,1,1.5,1,0.7828388213311662,1
Dyads,31,1,1,26,0,10100.jpg 1,3,3,1,0,1,1800,5319,1,1,1.5,1,0.7553074778584887,1
Dyads,31,1,1,27,0,11101.jpg 1,3,3,1,0,1,1900,6723,1,1,1.5,1,0.7384328326409983,1
Dyads,31,1,1,28,0,10010.jpg 1,2,4,0,1,0,1800,12768,1,1,1.5,1,0.7053878612672222,0
Dyads,31,1,1,29,0,10110.jpg 1,4,4,1,1,1,1900,7259,1,1,1.5,1,0.7118544137507302,1
Dyads,31,1,1,30,0,00101.jpg 1,1,3,0,0,0,1800,44840,1,1,1.5,1,0.6895403656396324,0
Dyads,31,1,1,31,0,10001.jpg 1,1,3,0,0,0,1700,13414,1,1,1.5,1,0.6420277337720864,0
Dyads,31,1,1,32,0,10010.jpg 1,2,2,0,1,1,1800,42877,1,1,1.5,1,0.7053878612672222,1
Dyads,31,2,1,1,0,01010.jpg 2,3,2,1,0,0,-100,23571,1,1,1.5,1,0.5886507420834328,0
Dyads,31,2,1,2,0,00110.jpg 2,3,2,1,0,0,-200,51062,1,1,1.5,1,0.5000358065234874,0
Dyads,31,2,1,3,0,10110.jpg 2,4,4,1,1,1,-100,16388,1,1,1.5,1,0.6362023883264085,1
Dyads,31,2,1,4,0,11100.jpg 2,2,1,0,1,0,-200,13220,1,1,1.5,1,0.4988300760003074,0
Dyads,31,2,1,5,0,00010.jpg 2,3,3,1,0,1,-100,29532,1,1,1.5,1,0.582155854394,1
Dyads,31,2,1,6,0,11000.jpg 2,2,2,0,1,1,0,34159,1,1,1.5,1,0.5091818443764694,1
Dyads,31,2,1,7,0,11001.jpg 2,2,2,0,1,1,100,15562,1,1,1.5,1,0.6014836303946376,1
Dyads,31,2,1,8,0,11001.jpg 2,2,2,0,1,1,200,5332,1,1,1.5,1,0.6014836303946376,1
Dyads,31,2,1,9,0,01111.jpg 2,4,1,1,1,0,100,20383,1,1,1.5,1,0.5501826613011234,0
Dyads,31,2,1,10,0,10011.jpg 2,3,2,1,0,0,0,108246,1,1,1.5,1,0.7025748641409744,0
Dyads,31,2,1,11,0,01101.jpg 2,2,3,0,1,0,-100,76723,1,1,1.5,1,0.5687935524315667,0
Dyads,31,2,1,12,0,10110.jpg 2,4,2,1,1,0,-200,110135,1,1,1.5,1,0.6362023883264085,0
Dyads,31,2,1,13,0,01000.jpg 2,1,1,0,0,1,-100,10728,1,1,1.5,1,0.594988038302346,1
Dyads,31,2,1,14,0,11010.jpg 2,4,2,1,1,0,-200,12845,1,1,1.5,1,0.4580821914130483,0
Dyads,31,2,1,15,0,00110.jpg 2,3,2,1,0,0,-300,69785,1,1,1.5,1,0.5000358065234874,0
Dyads,31,2,1,16,0,11011.jpg 2,4,2,1,1,0,-400,46210,1,1,1.5,1,0.3940796657720849,0
Dyads,31,2,1,17,0,11101.jpg 2,2,2,0,1,1,-300,16825,1,1,1.5,1,0.6585268626385783,1
Dyads,31,2,1,18,0,01011.jpg 2,3,3,1,0,1,-200,4879,1,1,1.5,1,0.5890485128392411,1
Dyads,31,2,1,19,0,01011.jpg 2,3,3,1,0,1,-100,15302,1,1,1.5,1,0.5890485128392411,1
Dyads,31,2,1,20,0,00001.jpg 2,1,1,0,0,1,0,12475,1,1,1.5,1,0.6864430060777132,1
Dyads,31,2,1,21,0,00101.jpg 2,1,1,0,0,1,100,22497,1,1,1.5,1,0.5772211123655534,1
Dyads,31,2,1,22,0,00011.jpg 2,3,3,1,0,1,200,3238,1,1,1.5,1,0.6923376644528918,1
Dyads,31,2,1,23,0,01000.jpg 2,1,1,0,0,1,300,2222,1,1,1.5,1,0.594988038302346,1
Dyads,31,2,1,24,0,10111.jpg 2,4,4,1,1,1,400,3038,1,1,1.5,1,0.831712135483596,1
Dyads,31,2,1,25,0,00110.jpg 2,3,3,1,0,1,500,4364,1,1,1.5,1,0.5000358065234874,1
Dyads,31,2,1,26,0,00100.jpg 2,1,1,0,0,1,600,5910,1,1,1.5,1,0.5665942787762811,1
Dyads,31,2,1,27,0,10010.jpg 2,3,4,1,0,0,500,7164,1,1,1.5,1,0.44029544390381975,0
Dyads,31,2,1,28,0,10000.jpg 2,1,2,0,0,0,400,79701,1,1,1.5,1,0.4356259441822062,0
Dyads,31,2,1,29,0,11010.jpg 2,4,4,1,1,1,500,8937,1,1,1.5,1,0.4580821914130483,1
Dyads,31,2,1,30,0,10100.jpg 2,2,1,0,1,0,400,8691,1,1,1.5,1,0.6678937041414524,0
Dyads,31,2,1,31,0,11011.jpg 2,4,4,1,1,1,500,23961,1,1,1.5,1,0.3940796657720849,1
Dyads,31,2,1,32,0,11110.jpg 2,4,4,1,1,1,600,51009,1,1,1.5,1,0.6934448037551008,1
Dyads,31,3,1,1,0,01101.jpg 3,2,1,0,1,0,-100,33737,1,1,1.5,1,0.3471542834362862,0
Dyads,31,3,1,2,0,10100.jpg 3,1,3,0,0,0,-200,13180,1,1,1.5,1,0.16291696605286626,0
Dyads,31,3,1,3,0,10100.jpg 3,1,1,0,0,1,-100,4142,1,1,1.5,1,0.16291696605286626,1
Dyads,31,3,1,4,0,00110.jpg 3,1,2,0,0,0,-200,40488,1,1,1.5,1,0.25822942861950987,0
Dyads,31,3,1,5,0,00000.jpg 3,1,2,0,0,0,-300,36548,1,1,1.5,1,0.5266601689415891,0
Dyads,31,3,1,6,0,11000.jpg 3,1,3,0,0,0,-400,14287,1,1,1.5,1,0.4158550323039575,0
Dyads,31,3,1,7,0,11011.jpg 3,4,3,1,1,0,-500,18661,1,1,1.5,1,0.30448068717556825,0
Dyads,31,3,1,8,0,10000.jpg 3,1,1,0,0,1,-400,48134,1,1,1.5,1,0.42108440869803243,1
Dyads,31,3,1,9,0,10010.jpg 3,1,3,0,0,0,-500,18259,1,1,1.5,1,0.18477880948277073,0
Dyads,31,3,1,10,0,00011.jpg 3,3,4,1,0,0,-600,16737,1,1,1.5,1,0.31439481713026257,0
Dyads,31,3,1,11,0,10011.jpg 3,3,3,1,0,1,-500,31539,1,1,1.5,1,0.28340799000231115,1
Dyads,31,3,1,12,0,11111.jpg 3,4,4,1,1,1,-400,23815,1,1,1.5,1,0.5192677209691391,1
Dyads,31,3,1,13,0,01100.jpg 3,2,1,0,1,0,-500,13790,1,1,1.5,1,0.370385816723717,0
Dyads,31,3,1,14,0,01110.jpg 3,2,2,0,1,1,-400,7087,1,1,1.5,1,0.31291426924783633,1
Dyads,31,3,1,15,0,01010.jpg 3,1,1,0,0,1,-300,6333,1,1,1.5,1,0.35728028925111116,1
Dyads,31,3,1,16,0,01110.jpg 3,2,2,0,1,1,-200,3321,1,1,1.5,1,0.31291426924783633,1
Dyads,31,3,1,17,0,01100.jpg 3,2,2,0,1,1,-100,1820,1,1,1.5,1,0.370385816723717,1
Dyads,31,3,1,18,0,01001.jpg 3,1,3,0,0,0,-200,3565,1,1,1.5,1,0.5653477093656111,0
Dyads,31,3,1,19,0,01001.jpg 3,1,1,0,0,1,-100,7582,1,1,1.5,1,0.5653477093656111,1
Dyads,31,3,1,20,0,01000.jpg 3,1,1,0,0,1,0,4017,1,1,1.5,1,0.5252805122051147,1
Dyads,31,3,1,21,0,10011.jpg 3,3,3,1,0,1,100,19873,1,1,1.5,1,0.28340799000231115,1
Dyads,31,3,1,22,0,00101.jpg 3,1,2,0,0,0,0,18536,1,1,1.5,1,0.27701696475732,0
Dyads,31,3,1,23,0,11101.jpg 3,2,4,0,1,0,-100,26715,1,1,1.5,1,0.373777599839875,0
Dyads,31,3,1,24,0,00111.jpg 3,3,1,1,0,0,-200,12694,1,1,1.5,1,0.28205728939179703,0
Dyads,31,3,1,25,0,11011.jpg 3,4,1,1,1,0,-300,13259,1,1,1.5,1,0.30448068717556825,0
Dyads,31,3,1,26,0,11110.jpg 3,2,2,0,1,1,-200,13216,1,1,1.5,1,0.39665171797350035,1
Dyads,31,3,1,27,0,01010.jpg 3,1,1,0,0,1,-100,15816,1,1,1.5,1,0.35728028925111116,1
Dyads,31,3,1,28,0,11101.jpg 3,2,1,0,1,0,-200,27288,1,1,1.5,1,0.373777599839875,0
Dyads,31,3,1,29,0,11100.jpg 3,2,2,0,1,1,-100,61891,1,1,1.5,1,0.44434329001373146,1
Dyads,31,3,1,30,0,10101.jpg 3,2,1,0,1,0,-200,10018,1,1,1.5,1,0.3930566318922825,0
Dyads,31,3,1,31,0,00010.jpg 3,1,1,0,0,1,-100,42770,1,1,1.5,1,0.3558808698061525,1
Dyads,31,3,1,32,0,10101.jpg 3,2,2,0,1,1,0,5539,1,1,1.5,1,0.3930566318922825,1
Dyads,32,1,1,1,0,01010.jpg 1,2,4,0,1,0,-100,27156,3,3.5,2.5,1.5,0.7558005962257012,0
Dyads,32,1,1,2,0,10011.jpg 1,2,3,0,1,0,-200,5453,3,3.5,2.5,1.5,0.6387084345740554,0
Dyads,32,1,1,3,0,01101.jpg 1,1,1,0,0,1,-100,33397,3,3.5,2.5,1.5,0.6223643044525368,1
Dyads,32,1,1,4,0,00100.jpg 1,1,2,0,0,0,-200,21412,3,3.5,2.5,1.5,0.6972658306325086,0
Dyads,32,1,1,5,0,10110.jpg 1,4,3,1,1,0,-300,15765,3,3.5,2.5,1.5,0.6324379881666078,0
Dyads,32,1,1,6,0,10101.jpg 1,3,3,1,0,1,-200,19214,3,3.5,2.5,1.5,0.6034377613374512,1
Dyads,32,1,1,7,0,01011.jpg 1,2,2,0,1,1,-100,7039,3,3.5,2.5,1.5,0.7807434795097093,1
Dyads,32,1,1,8,0,00001.jpg 1,1,1,0,0,1,0,6684,3,3.5,2.5,1.5,0.7344539626259312,1
Dyads,32,1,1,9,0,11101.jpg 1,3,3,1,0,1,100,21299,3,3.5,2.5,1.5,0.6628725333508525,1
Dyads,32,1,1,10,0,01100.jpg 1,1,1,0,0,1,200,12264,3,3.5,2.5,1.5,0.5302192340086005,1
Dyads,32,1,1,11,0,10101.jpg 1,3,3,1,0,1,300,4678,3,3.5,2.5,1.5,0.6034377613374512,1
Dyads,32,1,1,12,0,11001.jpg 1,1,3,0,0,0,200,21052,3,3.5,2.5,1.5,0.6234115711706132,0
Dyads,32,1,1,13,0,11111.jpg 1,4,4,1,1,1,300,14002,3,3.5,2.5,1.5,0.7290090876229209,1
Dyads,32,1,1,14,0,10100.jpg 1,3,3,1,0,1,400,5313,3,3.5,2.5,1.5,0.6825260842454018,1
Dyads,32,1,1,15,0,00011.jpg 1,2,2,0,1,1,500,5830,3,3.5,2.5,1.5,0.7337394088199782,1
