pair	session	correct
1	1	0.25
5	1	0.25
6	1	0.25
7	1	0.25
25	1	0.25
8	1	0.375
11	1	0.375
20	1	0.375
2	1	0.5
22	1	0.5
10	1	0.625
19	1	0.625
3	1	0.75
17	1	0.75
21	1	0.75
23	1	0.75
4	1	0.875
12	1	0.875
14	1	0.875
15	1	0.875
26	1	0.875
9	1	1
16	1	1
18	1	1
24	1	1
2	2	0.25
7	2	0.375
8	2	0.375
11	2	0.375
20	2	0.375
23	2	0.375
5	2	0.5
25	2	0.5
9	2	0.625
16	2	0.625
17	2	0.625
18	2	0.625
19	2	0.625
21	2	0.625
4	2	0.75
6	2	0.75
12	2	0.75
3	2	0.875
10	2	0.875
14	2	0.875
22	2	0.875
24	2	0.875
1	2	1
15	2	1
26	2	1
23	3	0.125
5	3	0.25
7	3	0.375
19	3	0.375
20	3	0.375
21	3	0.375
2	3	0.5
8	3	0.5
9	3	0.5
12	3	0.5
18	3	0.5
4	3	0.625
11	3	0.625
14	3	0.625
17	3	0.625
3	3	0.75
6	3	0.75
10	3	0.75
16	3	0.75
24	3	0.75
25	3	0.75
22	3	0.875
1	3	1
15	3	1
26	3	1
