Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair16,1,A,(0:00:36.9),So is he valuable or dangerous or... None?,1,Rebekka R
Pair16,1,B,(0:00:40.8),Uh he seems angry. Doesn't he?,1,Rebekka R
Pair16,1,A,(0:00:42.5),Yeah.,1,Rebekka R
Pair16,1,B,(0:00:42.6),I- I'm not sure actually. He's like two-sided.,1,Rebekka R
Pair16,1,A,(0:00:45.6),And the body posture is also is very broad up top.,1,Rebekka R
Pair16,1,B,(0:00:48.3),Yeah.,1,Rebekka R
Pair16,1,A,(0:00:48.9),And uh...,1,Rebekka R
Pair16,1,B,(0:00:50.9),Maybe like because he's going to kill us or something.,1,Rebekka R
Pair16,1,A,(0:00:53.4),Right. Exactly.,1,Rebekka R
Pair16,1,B,(0:00:54.4),I'm not sure.,1,Rebekka R
Pair16,1,A,(0:00:55.4),I don't know. How do we know he is valuable or not?,1,Rebekka R
Pair16,1,B,(0:00:58.3),Do we have to like just press in some- like choose something and then they will be explained to us?,1,Rebekka R
Pair16,1,A,(0:01:02.8),"Oh, right. Like the feedback.",1,Rebekka R
Pair16,1,B,(0:01:03.8),Yeah.,1,Rebekka R
Pair16,1,A,(0:01:04.9),Okay. So... Are we guessing that he doesn't have the jelly?,1,Rebekka R
Pair16,1,B,(0:01:09.7),Hmm...,1,Rebekka R
Pair16,1,A,(0:01:09.8),So we just want to kill him and then let him lay there.,1,Rebekka R
Pair16,1,B,(0:01:13.5),I don't know. I wonder which color is jelly. (?) blue (?).,1,Rebekka R
Pair16,1,A,(0:01:19.6),We could try- we could try the fourth one.,1,Rebekka R
Pair16,1,B,(0:01:21.3),Yeah. Let's do that. Okay.,1,Rebekka R
Pair16,1,A,(0:01:30.1),He has more of a... Friendly look because-,2,Rebekka R
Pair16,1,B,(0:01:33.1),Yeah! He doesn't have like eyes-,2,Rebekka R
Pair16,1,A,(0:01:34.7),(?) eyes (?) back there. Right.,2,Rebekka R
Pair16,1,B,(0:01:38.5),Maybe he is a good one. Or... Nuetral.,2,Rebekka R
Pair16,1,A,(0:01:43.0),We could try neutral.,2,Rebekka R
Pair16,1,B,(0:01:44.0),Okay.,2,Rebekka R
Pair16,1,A,(0:01:52.9),"That's the same guy. Okay. We should have ignored him is what they said, right?",3,Rebekka R
Pair16,1,B,(0:01:56.9),"I think he was a good one, wasn't he?",3,Rebekka R
Pair16,1,A,(0:01:59.0),No they said you should have ignored this friendly alien. So yeah so-,3,Rebekka R
Pair16,1,B,(0:02:03.0),Really?,3,Rebekka R
Pair16,1,A,(0:02:03.7),Yeah.,3,Rebekka R
Pair16,1,B,(0:02:04.3),Okay. Maybe I'm (?),3,Rebekka R
Pair16,1,A,(0:02:06.5),So- so I'm guessing we have to press the one.,3,Rebekka R
Pair16,1,B,(0:02:07.7),Oh yeah he's just friendly. He didn't have jelly.,3,Rebekka R
Pair16,1,A,(0:02:09.4),Right.,3,Rebekka R
Pair16,1,A,(0:02:14.6),And now we have- he has spots.,4,Rebekka R
Pair16,1,B,(0:02:15.9),"Now he's different. Hmm. He seems like the previous one, but doesn't- this one has spots, so maybe...",4,Rebekka R
Pair16,1,A,(0:02:23.9),Right. Spots are jelly?,4,Rebekka R
Pair16,1,B,(0:02:25.7),I don't know.,4,Rebekka R
Pair16,1,A,(0:02:26.6),Oh yeah. Good idea. Let's try that one. So like maybe two.,4,Rebekka R
Pair16,1,B,(0:02:28.9),Uh yeah. Okay let's try 2.,4,Rebekka R
