subject,condition,session,Accuracy1,Accuracy2
1,Individuals,1,0.7887708333333333,0.8125
1,Individuals,2,0.6144244791666666,0.6770833333333334
1,Individuals,3,0.5292838541666667,0.4583333333333333
2,Individuals,1,0.5410572916666667,0.5104166666666666
2,Individuals,2,0.4682838541666667,0.5208333333333334
2,Individuals,3,0.39336458333333335,0.3333333333333333
3,Individuals,1,0.8042239583333334,0.8333333333333334
3,Individuals,2,0.6209453125,0.6979166666666666
3,Individuals,3,0.5350625,0.4479166666666667
4,Individuals,1,0.8674739583333333,0.9166666666666666
4,Individuals,2,0.7139791666666667,0.6666666666666666
4,Individuals,3,0.6340859375,0.6770833333333334
5,Individuals,1,0.559296875,0.5104166666666666
5,Individuals,2,0.5926119791666666,0.6354166666666666
5,Individuals,3,0.5229869791666667,0.5104166666666666
6,Individuals,1,0.81334375,0.8333333333333334
6,Individuals,2,0.68923958333333335,0.75
6,Individuals,3,0.6108880208333334,0.5625
7,Individuals,1,0.6918125,0.6770833333333334
7,Individuals,2,0.6332265625,0.65625
7,Individuals,3,0.5594140625,0.5520833333333334
8,Individuals,1,0.7581770833333333,0.7604166666666666
8,Individuals,2,0.69309375,0.65625
8,Individuals,3,0.6197682291666666,0.6770833333333334
9,Individuals,1,0.8056848958333334,0.8020833333333334
9,Individuals,2,0.77203125,0.8333333333333334
9,Individuals,3,0.710140625,0.6979166666666666
10,Individuals,1,0.6550442708333333,0.6770833333333334
10,Individuals,2,0.40672916666666664,0.3854166666666667
10,Individuals,3,0.3279036458333333,0.2916666666666667
11,Individuals,1,0.6514947916666667,0.6354166666666666
11,Individuals,2,0.6168463541666667,0.53125
11,Individuals,3,0.5434635416666667,0.6458333333333334
12,Individuals,1,0.6086458333333333,0.5833333333333334
12,Individuals,2,0.5560885416666667,0.5729166666666666
12,Individuals,3,0.47794270833333335,0.46875
13,Individuals,1,0.7384661458333334,0.75
13,Individuals,2,0.6162057291666667,0.53125
13,Individuals,3,0.533546875,0.6145833333333334
14,Individuals,1,0.59621875,0.5625
14,Individuals,2,0.5791223958333334,0.59375
14,Individuals,3,0.5061901041666667,0.5104166666666666
15,Individuals,1,0.78048697916666665,0.7916666666666666
15,Individuals,2,0.6551458333333333,0.71875
15,Individuals,3,0.576484375,0.5208333333333334
16,Individuals,1,0.8431666666666666,0.8854166666666666
16,Individuals,2,0.6639036458333334,0.6770833333333334
16,Individuals,3,0.5779739583333333,0.5520833333333334
17,Individuals,1,0.6743515625000001,0.6666666666666666
17,Individuals,2,0.61778125,0.5208333333333334
17,Individuals,3,0.5418776041666666,0.6458333333333334
18,Individuals,1,0.6300052083333333,0.6041666666666666
18,Individuals,2,0.58279427083333335,0.625
18,Individuals,3,0.5064557291666667,0.4791666666666667
19,Individuals,1,0.7299869791666667,0.7291666666666666
19,Individuals,2,0.632765625,0.6875
19,Individuals,3,0.5540677083333333,0.5104166666666666
20,Individuals,1,0.7098229166666666,0.7291666666666666
20,Individuals,2,0.543546875,0.4583333333333333
20,Individuals,3,0.4607109375,0.5208333333333334
21,Individuals,1,0.6246510416666666,0.6145833333333334
21,Individuals,2,0.5274453125,0.5
21,Individuals,3,0.4500182291666667,0.46875
22,Individuals,1,0.7154453125,0.7395833333333334
22,Individuals,2,0.513859375,0.4270833333333333
22,Individuals,3,0.42859114583333335,0.4791666666666667
23,Individuals,1,0.5760078125,0.53125
23,Individuals,2,0.5744739583333334,0.6666666666666666
23,Individuals,3,0.5038723958333333,0.4375
24,Individuals,1,0.6943359375,0.6979166666666666
24,Individuals,2,0.5519140625,0.5520833333333334
24,Individuals,3,0.46992708333333333,0.4583333333333333
25,Individuals,1,0.6716197916666666,0.6875
25,Individuals,2,0.48111197916666665,0.40625
25,Individuals,3,0.39915104166666665,0.4375
26,Individuals,1,0.5694401041666667,0.53125
26,Individuals,2,0.5450338541666667,0.59375
26,Individuals,3,0.4716927083333333,0.4375
27,Individuals,1,0.7902994791666667,0.8333333333333334
27,Individuals,2,0.5691770833333333,0.4583333333333333
27,Individuals,3,0.47898958333333336,0.5520833333333334
31,Dyads,1,0.8508541666666667,0.8541666666666666
31,Dyads,2,0.8017890625,0.8333333333333334
31,Dyads,3,0.7314635416666667,0.71875
32,Dyads,1,0.8852890625000001,0.9166666666666666
32,Dyads,2,0.6935234375,0.6458333333333334
32,Dyads,3,0.5592682291666666,0.59375
33,Dyads,1,0.7150416666666667,0.7083333333333334
33,Dyads,2,0.6510885416666666,0.625
33,Dyads,3,0.5606536458333333,0.5833333333333334
34,Dyads,1,0.8300651041666667,0.8333333333333334
34,Dyads,2,0.6559322916666667,0.6770833333333334
34,Dyads,3,0.5316744791666667,0.5104166666666666
35,Dyads,1,0.9041119791666666,0.9270833333333334
35,Dyads,2,0.6135755208333333,0.65625
35,Dyads,3,0.4456614583333333,0.3958333333333333
36,Dyads,1,0.8620807291666667,0.8854166666666666
36,Dyads,2,0.6787552083333334,0.6458333333333334
